plot,year,count
Sal 1,2008,3
Sal 2,2008,23
Sal 3,2008,8
Sal 4,2008,102
Sal 5,2008,72
Sal 6,2008,265
Sal 7,2008,38
Sal 8,2008,9
Sal 9,2008,42
Sal 10,2008,54
Sal 11,2008,3
Sal 1,2009,6
Sal 2,2009,29
Sal 3,2009,20
Sal 4,2009,138
Sal 5,2009,58
Sal 6,2009,304
Sal 7,2009,40
Sal 8,2009,8
Sal 9,2009,42
Sal 10,2009,27
Sal 11,2009,9
Sal 1,2010,11
Sal 2,2010,57
Sal 3,2010,22
Sal 4,2010,302
Sal 5,2010,119
Sal 6,2010,412
Sal 7,2010,88
Sal 8,2010,7
Sal 9,2010,48
Sal 10,2010,41
Sal 11,2010,8
Sal 1,2011,7
Sal 2,2011,23
Sal 3,2011,5
Sal 4,2011,168
Sal 5,2011,123
Sal 6,2011,316
Sal 7,2011,53
Sal 8,2011,6
Sal 9,2011,22
Sal 10,2011,36
Sal 11,2011,5